File Name,Cell Image,Perimeter,Area,Circularity
01_1.png,"<img src=""01_1.png"">",160.61,1839.5,0.98
01_2.png,"<img src=""01_2.png"">",171.3,1282.5,0.65
01_3.png,"<img src=""01_3.png"">",150.71,1634.0,0.86
01_4.png,"<img src=""01_4.png"">",165.2,1939.0,0.96
01_5.png,"<img src=""01_5.png"">",159.54,1771.0,0.92
01_6.png,"<img src=""01_6.png"">",160.12,1823.5,0.96
01_7.png,"<img src=""01_7.png"">",164.61,1925.5,0.96
01_8.png,"<img src=""01_8.png"">",177.1,2117.5,0.72
01_9.png,"<img src=""01_9.png"">",164.81,1334.5,0.58
01_10.png,"<img src=""01_10.png"">",171.64,2003.5,0.94
01_11.png,"<img src=""01_11.png"">",160.37,1843.0,0.92
01_12.png,"<img src=""01_12.png"">",167.78,1978.5,0.94
01_13.png,"<img src=""01_13.png"">",170.02,2018.0,0.92
01_14.png,"<img src=""01_14.png"">",166.02,1962.0,0.94
01_15.png,"<img src=""01_15.png"">",170.85,2075.0,0.96
01_16.png,"<img src=""01_16.png"">",181.44,2292.5,0.93
01_17.png,"<img src=""01_17.png"">",162.71,1840.0,0.98
01_18.png,"<img src=""01_18.png"">",160.61,1860.5,0.94
01_19.png,"<img src=""01_19.png"">",177.68,2215.0,0.94
01_20.png,"<img src=""01_20.png"">",163.44,1870.5,0.94
01_21.png,"<img src=""01_21.png"">",162.27,1811.5,0.94
01_22.png,"<img src=""01_22.png"">",165.78,1956.5,0.94
01_23.png,"<img src=""01_23.png"">",182.85,2271.0,0.91
01_24.png,"<img src=""01_24.png"">",170.61,2000.5,0.87
01_25.png,"<img src=""01_25.png"">",190.07,2514.5,0.85
01_26.png,"<img src=""01_26.png"">",194.75,2673.5,0.93
01_27.png,"<img src=""01_27.png"">",166.85,1978.0,0.98
01_28.png,"<img src=""01_28.png"">",160.61,1819.5,0.98
01_29.png,"<img src=""01_29.png"">",176.99,2160.0,0.91
01_30.png,"<img src=""01_30.png"">",166.61,1919.5,0.78
01_31.png,"<img src=""01_31.png"">",202.85,2549.0,0.61
01_32.png,"<img src=""01_32.png"">",161.2,1854.0,0.96
01_33.png,"<img src=""01_33.png"">",172.61,2055.5,0.91
01_34.png,"<img src=""01_34.png"">",168.27,1985.5,0.94
01_35.png,"<img src=""01_35.png"">",171.68,2084.0,0.87
01_36.png,"<img src=""01_36.png"">",175.44,2149.5,0.93
01_37.png,"<img src=""01_37.png"">",159.54,1813.0,0.88
01_38.png,"<img src=""01_38.png"">",159.34,1118.0,0.49
01_39.png,"<img src=""01_39.png"">",195.82,2744.0,1.0
01_40.png,"<img src=""01_40.png"">",192.07,2322.5,0.57
01_41.png,"<img src=""01_41.png"">",163.44,1880.5,0.9
01_42.png,"<img src=""01_42.png"">",175.92,1479.5,0.57
01_43.png,"<img src=""01_43.png"">",180.31,2139.0,0.84
01_44.png,"<img src=""01_44.png"">",173.1,2057.5,0.94
01_45.png,"<img src=""01_45.png"">",165.54,1838.0,0.66
01_46.png,"<img src=""01_46.png"">",159.54,1796.0,0.96
01_47.png,"<img src=""01_47.png"">",161.54,1887.0,0.92
01_48.png,"<img src=""01_48.png"">",205.68,1389.0,0.8
01_49.png,"<img src=""01_49.png"">",177.68,2210.0,0.83
01_50.png,"<img src=""01_50.png"">",186.41,2438.5,0.87
01_51.png,"<img src=""01_51.png"">",174.02,2023.0,0.91
01_52.png,"<img src=""01_52.png"">",176.12,2202.5,0.91
01_53.png,"<img src=""01_53.png"">",183.05,2173.0,0.9
01_54.png,"<img src=""01_54.png"">",183.68,2258.0,0.89
01_55.png,"<img src=""01_55.png"">",171.78,2101.5,0.93
01_56.png,"<img src=""01_56.png"">",152.33,1304.5,0.8
01_57.png,"<img src=""01_57.png"">",188.47,2435.5,0.79
01_58.png,"<img src=""01_58.png"">",156.95,1749.5,0.88
01_59.png,"<img src=""01_59.png"">",170.61,1956.5,0.96
01_60.png,"<img src=""01_60.png"">",162.61,1871.5,0.96
01_61.png,"<img src=""01_61.png"">",169.44,2013.5,0.87
01_62.png,"<img src=""01_62.png"">",197.1,2530.5,0.89
01_63.png,"<img src=""01_63.png"">",153.54,1669.0,0.9
01_64.png,"<img src=""01_64.png"">",176.85,2230.0,1.0
01_65.png,"<img src=""01_65.png"">",264.65,3021.0,0.58
01_66.png,"<img src=""01_66.png"">",165.78,1962.5,0.92
01_67.png,"<img src=""01_67.png"">",184.37,2398.0,0.93
01_68.png,"<img src=""01_68.png"">",189.78,2523.5,0.92
