File Name,Cell Image,Perimeter,Area,Circularity,Result,Confidence
08_1.png,"<img src=""08_1.png"">",166.61,1945.5,0.87,Regular,1.0
08_2.png,"<img src=""08_2.png"">",211.1,2489.5,0.77,Regular,0.99
08_3.png,"<img src=""08_3.png"">",188.02,1410.0,0.67,Regular,1.0
08_4.png,"<img src=""08_4.png"">",173.78,2077.5,0.81,Regular,1.0
08_5.png,"<img src=""08_5.png"">",171.58,2052.5,0.85,Regular,0.99
08_6.png,"<img src=""08_6.png"">",172.85,2083.0,0.89,Regular,1.0
08_7.png,"<img src=""08_7.png"">",183.2,1983.0,0.87,Regular,1.0
08_8.png,"<img src=""08_8.png"">",155.4,1075.0,0.54,Regular,0.99
08_9.png,"<img src=""08_9.png"">",171.34,2082.0,0.92,Regular,1.0
08_10.png,"<img src=""08_10.png"">",214.41,2977.5,0.81,Regular,1.0
08_11.png,"<img src=""08_11.png"">",161.78,1863.5,0.88,Regular,1.0
08_12.png,"<img src=""08_12.png"">",169.64,1391.5,0.44,Regular,0.97
08_13.png,"<img src=""08_13.png"">",181.88,2169.0,0.78,Regular,0.96
08_14.png,"<img src=""08_14.png"">",170.51,1995.0,0.82,Regular,1.0
08_15.png,"<img src=""08_15.png"">",176.61,2203.5,0.88,Regular,1.0
08_16.png,"<img src=""08_16.png"">",197.82,2764.0,1.0,Regular,1.0
08_17.png,"<img src=""08_17.png"">",191.48,2216.0,0.8,Regular,1.0
08_18.png,"<img src=""08_18.png"">",184.02,2286.0,0.82,Regular,1.0
08_19.png,"<img src=""08_19.png"">",181.92,2099.5,0.87,Regular,1.0
08_20.png,"<img src=""08_20.png"">",183.68,2288.0,0.83,Regular,0.98
08_21.png,"<img src=""08_21.png"">",178.37,2156.0,0.75,Regular,1.0
08_22.png,"<img src=""08_22.png"">",177.05,1942.0,0.82,Regular,0.93
08_23.png,"<img src=""08_23.png"">",185.1,2362.5,0.82,Regular,1.0
08_24.png,"<img src=""08_24.png"">",159.2,1644.0,0.8,Regular,1.0
08_25.png,"<img src=""08_25.png"">",180.75,2221.5,0.83,Regular,1.0
08_26.png,"<img src=""08_26.png"">",160.37,1761.0,0.83,Regular,1.0
08_27.png,"<img src=""08_27.png"">",166.85,1975.0,0.92,Regular,1.0
08_28.png,"<img src=""08_28.png"">",172.27,2044.5,0.76,Regular,0.94
08_29.png,"<img src=""08_29.png"">",202.37,2585.0,0.78,Regular,0.98
08_30.png,"<img src=""08_30.png"">",176.02,2022.0,0.89,Regular,1.0
08_31.png,"<img src=""08_31.png"">",170.51,2009.0,0.84,Regular,1.0
08_32.png,"<img src=""08_32.png"">",270.99,3467.0,0.57,Regular,1.0
08_33.png,"<img src=""08_33.png"">",180.75,2103.5,0.77,Regular,0.79
08_34.png,"<img src=""08_34.png"">",188.75,2487.5,0.93,Regular,1.0
08_35.png,"<img src=""08_35.png"">",183.44,2173.5,0.8,Regular,1.0
08_36.png,"<img src=""08_36.png"">",163.92,1646.5,0.86,Regular,1.0
08_37.png,"<img src=""08_37.png"">",195.1,2377.5,0.74,Regular,1.0
08_38.png,"<img src=""08_38.png"">",208.07,2922.5,0.77,Regular,1.0
08_39.png,"<img src=""08_39.png"">",159.2,1805.0,0.9,Regular,1.0
08_40.png,"<img src=""08_40.png"">",172.61,2106.5,0.87,Regular,1.0
08_41.png,"<img src=""08_41.png"">",174.61,1972.5,0.79,Regular,1.0
08_42.png,"<img src=""08_42.png"">",164.02,1849.0,0.85,Regular,1.0
08_43.png,"<img src=""08_43.png"">",184.61,2380.5,0.98,Regular,1.0
08_44.png,"<img src=""08_44.png"">",244.31,3630.0,0.69,Sickle,0.58
08_45.png,"<img src=""08_45.png"">",184.75,2364.5,0.83,Regular,1.0
08_46.png,"<img src=""08_46.png"">",181.68,2311.0,0.93,Regular,1.0
08_47.png,"<img src=""08_47.png"">",174.02,2135.0,0.93,Regular,1.0
08_48.png,"<img src=""08_48.png"">",174.02,2160.0,0.96,Regular,1.0
08_49.png,"<img src=""08_49.png"">",170.71,2038.0,0.92,Regular,1.0
08_50.png,"<img src=""08_50.png"">",201.1,2375.5,0.74,Regular,1.0
08_51.png,"<img src=""08_51.png"">",179.34,2250.0,0.96,Regular,1.0
08_52.png,"<img src=""08_52.png"">",183.92,2373.5,0.95,Regular,1.0
08_53.png,"<img src=""08_53.png"">",188.31,2338.0,0.87,Regular,0.89
08_54.png,"<img src=""08_54.png"">",168.85,2002.0,0.89,Regular,1.0
08_55.png,"<img src=""08_55.png"">",193.82,2621.0,0.84,Regular,1.0
08_56.png,"<img src=""08_56.png"">",151.98,759.5,0.63,Regular,1.0
08_57.png,"<img src=""08_57.png"">",152.95,1637.5,0.96,Regular,1.0
08_58.png,"<img src=""08_58.png"">",199.58,2636.5,0.7,Regular,1.0
08_59.png,"<img src=""08_59.png"">",160.61,1835.5,0.98,Regular,1.0
08_60.png,"<img src=""08_60.png"">",169.68,2023.0,0.87,Regular,1.0
08_61.png,"<img src=""08_61.png"">",169.92,1824.5,0.61,Regular,1.0
08_62.png,"<img src=""08_62.png"">",184.85,1384.0,0.6,Regular,0.96
08_63.png,"<img src=""08_63.png"">",200.27,2715.5,0.84,Regular,1.0
08_64.png,"<img src=""08_64.png"">",189.82,2308.0,0.78,Regular,0.98
08_65.png,"<img src=""08_65.png"">",220.07,1805.5,0.74,Regular,1.0
08_66.png,"<img src=""08_66.png"">",171.05,2054.0,0.91,Regular,1.0
